His first publication was on Balth 's `` Laser Paintings . ''	on Balth 's	/person|/person/artist	/person
Henry Art Gallery collections that he felt would coordinate with Balth 's works .	with Balth 's	/person|/person/artist	/person
Marek 's classwork for this past quarter , '' said Betsey Brock , the Henry Art Gallery 's associate director for	said Betsey Brock ,	/person	/person/artist|/person
`` That 's what I love about Balth 's art .	about Balth 's	/person|/person/artist	/person
`` Videowatercolor '' pieces , `` Moving II , '' Balth simply rotates an image of water , juxtaposing it	'' Balth simply	/art|/art/music	/person
segregating but more as bringing together other cultures , '' Ramashandra said .	'' Ramashandra said	/ethnicity	/person
has been a struggle with such a large community , Taing said .	, Taing said	/ethnicity	/person
1 - a round of applause erupted from the many Tupper Lakers and local government representatives packed into the APA 's	many Tupper Lakers and	/organization|/organization/sports_team	/person
The move came late Friday afternoon after Scaringe dismissed Brian Barrett of Lake Placid as one of his defense attorneys	dismissed Brian Barrett of	/person|/person/athlete	/person
Rain declined to speak to the press about the circumstances	<PAD> Rain declined	/person|/person/artist	/person
The newspaper later left a message with Rain that had n't been returned as of press time	with Rain that	/art|/art/written_work	/person
Spencer Anderson was in veterinary school when he joined the U.S.	<PAD> Spencer Anderson was	/person	/person/doctor|/person
in the military and be a veterinarian , '' said Spencer , as he prefers to be called .	said Spencer ,	/person	/person/soldier|/person
After his military graduation , Spencer spent three years tending the Army 's dogs and	, Spencer spent	/person	/person/soldier|/person
When he left the Army , Spencer got a job in Bozeman , where he used	, Spencer got	/person	/person/soldier|/person
has been bringing her 17-year-old Newfoundland , Barley , to Spencer since June .	to Spencer since	/location|/location/city	/person
Leight was skeptical about acupuncture but was sold when Barley	<PAD> Leight was	/organization|/organization/company	/person
When we go in he 's barely walking , '' Leight said .	'' Leight said	/organization|/organization/company	/person
This is something American photographer Maggie Steber `` who has been shooting in Haiti for 30	photographer Maggie Steber ``	/person	/person/artist|/person
beautiful to photograph , important , profound , '' says Steber , `` you learn more about them than anything	says Steber ,	/person|/person/artist	/person
